1,"502 Cedar Dr","Santa Ana Pueblo","NM","87004",,"Mailing & Physical",0
288,"1206 Main St East","Monmouth","OR","97361",,"Mailing",0
293,"PO Box 355","Warm Springs","OR","97761",,"Mailing",0
295,"8225 SE 7th","Portland","OR","97202",,"Mailing",0
249,"","",,,,"Physical",0
259,"23340 SW Willamina Creek Rd","Willamina","OR","97396",,"Physical",0
232,"46346 SR 20","Concrete","WA","98237",,"Physical",0
299,"25 N 1st St, Ste 2","Creswell","OR","97426",,"Physical",0
299,"PO Box 425","Creswell","OR","97426",,"Mailing",0
300,"2286 Oroville Chico Hwy","Durham","CA","95938",,"Physical",0
300,"PO Box 6254","Chico","CA","95927",,"Mailing",0
301,"559 NW Highway 101","Lincoln City","OR","97801",,"Mailing",0
302,"1777 NW 44th St","Lincoln City","OR","97367",,"Mailing & Physical",0
303,"3245 NE 50th Street","Lincoln City","OR","97367",,"Mailing & Physical",0
304,"1501 40th Place","Lincoln City","OR","97367",,"Mailing & Physical",0
305,"4800 NE Logan Rd","Lincoln City","OR","97367",,"Mailing & Physical",0
306,"4751 Astoria St, NE","Salem","OR","97305",,"Mailing & Physical",0
307,"315 S. Gaither St.","Siletz","OR","97380",,"Mailing & Physical",0
308,"2120 NW 44th St, Ste D","Lincoln City","OR","07367",,"Mailing",0
309,"PO Box 549","Siletz","OR","97380",,"Mailing",0
310,"3400 State St SE Ste G710","Salem","OR","97301",,"Mailing & Physical",0
281,"1333 NW Hwy 101","Lincoln City","OR","973673341",,"Mailing & Physical",0
280,"PO Box 458","Klamath Falls","OR","97601",,"Mailing & Physical",0
311,"17544 Pioneer Parkway","LaConner","WA","98257",,"Mailing & Physical",0
312,"1700 Mt. Hood Avenue #122","Woodburn","OR","97071",,"Mailing",0
313,"PO Box 910","LaConner","WA","98257",,"Mailing",0
314,"72777 Highway 331","Pendleton","OR","978013379",,"Mailing & Physical",0
316,"PO Box 1440","Omak","WA","98841",,"Mailing",0
317,"1127 S. Broadway","Coos Bay","OR","97420",,"Mailing & Physical",0
318,"PO Box 178","Carlsborg","WA","98324",,"Mailing",0
320,"1105 36th Street N.","Lewiston","ID","83501",,"Mailing & Physical",0
321,"PO Box 952","Ashland","OR","97520",,"Mailing",0
322,"PO Box 82812","Portland","OR","97282",,"Mailing",0
323,"PO Box 82812","Portland","OR","97282",,"Mailing",0
324,"1390 Broadway, Suite B, #137","Placerville","CA","95667",,"Mailing & Physical",0
325,"421 S Main Street","Pendleton","OR","97801",,"Mailing & Physical",0
326,"1119 Circle Wood Court","Central Point","OR","97502",,"Mailing",0
327,"51761 Hillside Road","Charlo","MT","59824",,"Mailing & Physical",0
328,"120 E. Birch","Walla Walla","WA","99362",,"Mailing",0
329,"PO Box 1973","Pendleton","OR","97801",,"Mailing",0
330,"11575 SW Pacific Highway, #243","Tigard","OR","97223",,"Mailing & Physical",0
331,"3098 Smokehouse Road","Bellingham","WA","98226",,"Physical",0
331,"PO Box 28113","Bellingham","WA","98228",,"Mailing",0
332,"PO Box 1973","Pendleton","OK","97801",,"Mailing",0
333,"559 NW Highway 101","Lincoln City","OR","97367",,"Physical",0
333,"PO Box 417","Neotsu","OR","97364",,"Mailing",0
334,"28806 Thorn Street","Sweetwater","OR","83540",,"Mailing & Physical",0
335,"945 NW 101","Lincoln City","OR","97367",,"Mailing & Physical",0
248,"#1 Legion Way","Hoopa","CA","95546",,"Mailing & Physical",0
245,"56845 Venture Ln","Sunriver","OR","97707",,"Mailing & Physical",0
153,"71648 Charolais","Pendleton","OR","97801",,"Mailing & Physical",0
339,"P.O. Box 31257","Meza","AZ","852751257",,"Mailing & Physical",0
